postalcode,state_abbr,value
43001,OH,4
43003,OH,6
43004,OH,4
43005,OH,3
43006,OH,4
43007,OH,7
43008,OH,5
43009,OH,6
43010,OH,1
43011,OH,9
43013,OH,6
43014,OH,9
43015,OH,5
43016,OH,4
43017,OH,7
43018,OH,9
43019,OH,8
43021,OH,4
43022,OH,10
43023,OH,8
43025,OH,1
43026,OH,10
43028,OH,6
43029,OH,9
43030,OH,5
43031,OH,1
43033,OH,1
43035,OH,3
43036,OH,8
43037,OH,9
43040,OH,2
43044,OH,2
43045,OH,3
43046,OH,3
43047,OH,7
43050,OH,10
43054,OH,8
43055,OH,3
43056,OH,6
43060,OH,2
43061,OH,10
43062,OH,7
43064,OH,6
43065,OH,9
43066,OH,5
43067,OH,2
43068,OH,1
43070,OH,4
43071,OH,10
43072,OH,2
43074,OH,5
43076,OH,1
43077,OH,1
43078,OH,8
43080,OH,1
43081,OH,3
43082,OH,3
43084,OH,8
43085,OH,5
43101,OH,7
43102,OH,10
43103,OH,9
43105,OH,3
43106,OH,3
43107,OH,2
43109,OH,2
43110,OH,10
43111,OH,9
43112,OH,1
43113,OH,8
43115,OH,3
43116,OH,9
43119,OH,5
43123,OH,5
43125,OH,3
43126,OH,9
43127,OH,7
43128,OH,7
43130,OH,7
43135,OH,4
43136,OH,9
43137,OH,7
43138,OH,7
43140,OH,8
43142,OH,3
43143,OH,4
43144,OH,8
43145,OH,1
43146,OH,10
43147,OH,2
43148,OH,5
43149,OH,1
43150,OH,1
43151,OH,9
43152,OH,3
43153,OH,2
43154,OH,10
43155,OH,4
43156,OH,6
43157,OH,1
43158,OH,3
43160,OH,10
43162,OH,7
43164,OH,4
43201,OH,2
43202,OH,10
43203,OH,8
43204,OH,5
43205,OH,8
43206,OH,2
43207,OH,9
43209,OH,10
43210,OH,6
43211,OH,10
43212,OH,1
43213,OH,3
43214,OH,7
43215,OH,10
43216,OH,6
43217,OH,8
43219,OH,5
43220,OH,2
43221,OH,9
43222,OH,1
